Model,Workbook_Root,Log_Root,Prediction_Workbook,Model_IO_Workbook,Replay_Log_File,Field_Log_File,Critical_Input_Status,Raw_Tensor_Status,Decoded_Raw_Status,Postprocessed_Status,Predictions_2dp,Latest_Metrics_4dp,Prediction_T_Matches,Prediction_H_Matches,Replay_Invoke_Energy_uWh_Mean,Replay_Event_Energy_uWh_Mean,Replay_Invoke_Time_ms_Mean,Replay_Event_Time_ms_Mean,Replay_Minimum_Free_Heap_kB,Replay_Idle_Voltage_V_Mean,Replay_Idle_Current_mA_Mean,Replay_Idle_Power_mW_Mean,Field_Invoke_Energy_uWh_Mean,Field_Event_Energy_uWh_Mean,Field_Invoke_Time_ms_Mean,Field_Event_Time_ms_Mean,Field_Minimum_Free_Heap_kB,Field_Idle_Voltage_V_Mean,Field_Idle_Current_mA_Mean,Field_Idle_Power_mW_Mean,Model_Flash_kB,Tensor_Arena_kB,Total_Footprint_kB
MLP,C:\Users\chpsv\Documents\MPEngEletrica\Master Project\LiteML\utils\workbook_mlp,C:\Users\chpsv\Documents\MPEngEletrica\Master Project\LiteML\firmwares\environment_mlp\PlatfIO_ESP32_Wemos_mlp\logs,C:\Users\chpsv\Documents\MPEngEletrica\Master Project\LiteML\utils\workbook_mlp\predictions_metrics_vs_log_comparison_mlp.xlsx,C:\Users\chpsv\Documents\MPEngEletrica\Master Project\LiteML\utils\workbook_mlp\model_io_comparison_mlp.xlsx,device-monitor-260331-085957.log,device-monitor-260331-204454.log,MATCH,MATCH,MATCH,MATCH,T=24/24; H=24/24,8/9,24/24 (100.00%),24/24 (100.00%),0.15920833333333337,5.736,1.1744166666666669,61.84899999999998,139.1,5.079267727930535,60.0536179450072,304.94167872648364,0.154875,0.39887500000000015,1.077375,4.429,90.4,5.121245090909124,60.7056,310.8511272727268,6.46,0.91,7.37
LSTM,C:\Users\chpsv\Documents\MPEngEletrica\Master Project\LiteML\utils\workbook_lstm,C:\Users\chpsv\Documents\MPEngEletrica\Master Project\LiteML\firmwares\environment_mlp\PlatfIO_ESP32_Wemos_lstm\logs,C:\Users\chpsv\Documents\MPEngEletrica\Master Project\LiteML\utils\workbook_lstm\predictions_metrics_vs_log_comparison_lstm.xlsx,C:\Users\chpsv\Documents\MPEngEletrica\Master Project\LiteML\utils\workbook_lstm\model_io_comparison_lstm.xlsx,device-monitor-260331-110243.log,device-monitor-260401-140042.log,MATCH,MISMATCH,MISMATCH,MISMATCH,T=21/24; H=23/24,1/9,21/24 (87.50%),23/24 (95.83%),1.5392916666666663,6.684958333333332,16.068500000000004,71.164125,139.1,5.080934876989788,61.61150506512299,312.96671490593366,1.4131666666666665,1.643416666666666,15.082708333333334,18.336333333333332,90.4,5.127761280931489,60.083333333333385,308.0660116448327,9.46,3.42,12.88
Conv1D Tiny,C:\Users\chpsv\Documents\MPEngEletrica\Master Project\LiteML\utils\workbook_Conv1D_Tiny,C:\Users\chpsv\Documents\MPEngEletrica\Master Project\LiteML\firmwares\environment_mlp\PlatfIO_ESP32_Wemos_Con1D_Tiny\logs,C:\Users\chpsv\Documents\MPEngEletrica\Master Project\LiteML\utils\workbook_Conv1D_Tiny\predictions_metrics_vs_log_comparison_Conv1D_Tiny.xlsx,C:\Users\chpsv\Documents\MPEngEletrica\Master Project\LiteML\utils\workbook_Conv1D_Tiny\model_io_comparison_Conv1D_Tiny.xlsx,device-monitor-260331-121705.log,device-monitor-260401-181106.log,MATCH,MATCH,MATCH,MATCH,T=24/24; H=24/24,9/9,24/24 (100.00%),24/24 (100.00%),0.6140833333333332,8.753791666666666,5.961333333333335,92.12245833333333,138.9,5.081395079594761,61.842185238784324,314.15795947901614,0.5912916666666665,0.8333333333333334,5.850458333333332,9.164166666666665,88.5,5.128881454545355,60.462036363636315,310.06509090909077,7.12,2.59,9.72
